"","problem","none","Genome","GenomeBacktracking","GenomeBacktrackingNoop","GenomeNoop","Program"
"1","checksum",0.8,0.8,0.8,0.8,0.8,0.8
"2","compare-string-lengths",0.116666666666667,0.172166666666667,0.179666666666667,0.180666666666667,0.177166666666667,0.168833333333333
"3","count-odds",1,1,1,1,1,1
"4","digits",0.291666666666667,0.43125,0.425833333333333,0.425,0.434166666666667,0.387916666666667
"5","double-letters",1,0.901666666666667,0.928333333333333,0.928333333333333,0.896666666666667,0.888333333333333
"6","even-squares",1,1,1,1,1,1
"7","for-loop-index",1,1,1,1,1,1
"8","grade",0.571428571428571,0.764285714285714,0.738571428571429,0.755714285714286,0.74,0.64
"9","last-index-of-zero",0.269230769230769,0.416666666666667,0.419102564102564,0.418076923076923,0.417051282051282,0.438846153846154
"10","median",0.483870967741935,0.755913978494624,0.760215053763441,0.764623655913979,0.759462365591398,0.730752688172043
"11","mirror-image",0.804123711340206,0.905051546391753,0.904329896907217,0.904020618556701,0.905257731958763,0.905154639175258
"12","negative-to-zero",0.625,0.772916666666667,0.769707207207207,0.782361111111111,0.776944444444444,0.734444444444444
"13","number-io",0.98,1,1,1,1,1
"14","replace-space-with-newline",0.944444444444444,0.958703703703704,0.956851851851852,0.957777777777778,0.955740740740741,0.952592592592593
"15","scrabble-score",1,1,1,1,1,1
"16","small-or-large",0.151515151515152,0.187878787878788,0.191212121212121,0.175151515151515,0.168484848484848,0.182121212121212
"17","smallest",0.81,0.9808,0.983,0.9833,0.9831,0.9817
"18","string-lengths-backwards",0.825,0.9775,0.985375,0.982875,0.974125,0.9865
"19","sum-of-squares",0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857
"20","super-anagrams",0,0,0,0,0,0
"21","syllables",0.857142857142857,0.880952380952381,0.883809523809524,0.884761904761905,0.880476190476191,0.867619047619048
"22","vector-average",0.956521739130435,1,1,1,1,1
"23","vectors-summed",1,1,1,1,1,1
"24","x-word-lines",0.727272727272727,0.801818181818182,0.819090909090909,0.86,0.845454545454545,0.847272727272727
