"","problem","none","Genome","GenomeBacktracking","GenomeBacktrackingNoop","GenomeNoop","Program"
"1","checksum",218,50.622,49.408,48.796,49.84,47.818
"2","compare-string-lengths",203.283,134.627,132.509,130.911,132.08,126.856
"3","count-odds",118.5,20.685,20.094,19.485,18.996,18.913
"4","digits",201,68.217,63.672,59.523,64.433,61.383
"5","double-letters",195.333,37.257,36.145,36.443,37.257,30.595
"6","even-squares",111,26.55,25.8,26.03,26.47,17.47
"7","for-loop-index",53,27,27,27,27,22
"8","grade",288.143,78.861,76.429,75.59,77.909,72.811
"9","last-index-of-zero",186.615,51.48,49.101,48.872,51.182,49.004
"10","median",82.989,22.248,21.558,21.086,21.521,21.303
"11","mirror-image",122.969,18.037,17.438,17.341,17.851,16.804
"12","negative-to-zero",162.972,41.099,35.049,35.627,40.048,43.891
"13","number-io",56.89,6.279,6.234,6.237,6.282,6.298
"14","replace-space-with-newline",194.259,19.861,18.416,17.219,18.145,19.088
"15","scrabble-score",184,17.535,16.765,17.25,17.995,16.775
"16","small-or-large",122.242,71.3,70.618,69.84,70.073,65.982
"17","smallest",67.13,11.962,11.61,11.466,11.807,10.907
"18","string-lengths-backwards",86.775,22.689,22.29,22.217,22.627,20.338
"19","sum-of-squares",143.429,52.883,47.443,49.507,52.47,48.454
"20","super-anagrams",238.786,147.969,146.684,144.729,145.886,136.709
"21","syllables",229.524,40.811,39.216,38.4,39.79,38.621
"22","vector-average",120.957,16.424,15.438,16.31,17.399,15.281
"23","vectors-summed",24,9,9,9,9,12
"24","x-word-lines",139.909,46.03,45.252,41.075,42.428,31.783
